time_s,T_center,T_surface,C_center,C_surface
507,28.2717,29.7207,2.5500,1.9237
508,28.2734,29.7254,2.5500,1.9232
509,28.2751,29.7300,2.5500,1.9227
510,28.2769,29.7346,2.5500,1.9221
511,28.2786,29.7393,2.5500,1.9216
512,28.2803,29.7439,2.5500,1.9211
513,28.2821,29.7486,2.5500,1.9206
514,28.2838,29.7533,2.5500,1.9201
515,28.2855,29.7580,2.5500,1.9195
516,28.2873,29.7627,2.5500,1.9190
517,28.2890,29.7674,2.5500,1.9185
518,28.2908,29.7721,2.5500,1.9180
519,28.2926,29.7769,2.5500,1.9175
520,28.2944,29.7816,2.5500,1.9169
521,28.2961,29.7864,2.5500,1.9164
522,28.2979,29.7911,2.5500,1.9159
523,28.2997,29.7959,2.5500,1.9154
524,28.3015,29.8007,2.5500,1.9149
525,28.3033,29.8055,2.5500,1.9143
526,28.3051,29.8103,2.5500,1.9138
527,28.3069,29.8151,2.5500,1.9133
528,28.3087,29.8199,2.5500,1.9128
529,28.3106,29.8247,2.5500,1.9123
530,28.3124,29.8296,2.5500,1.9118
531,28.3142,29.8344,2.5500,1.9113
532,28.3161,29.8393,2.5500,1.9108
533,28.3179,29.8441,2.5500,1.9102
534,28.3198,29.8490,2.5500,1.9097
535,28.3216,29.8539,2.5500,1.9092
536,28.3235,29.8588,2.5500,1.9087
537,28.3254,29.8637,2.5500,1.9082
538,28.3272,29.8686,2.5500,1.9077
539,28.3291,29.8735,2.5500,1.9072
540,28.3310,29.8784,2.5500,1.9067
541,28.3329,29.8833,2.5500,1.9062
542,28.3348,29.8881,2.5500,1.9057
543,28.3367,29.8929,2.5500,1.9052
544,28.3386,29.8978,2.5500,1.9047
545,28.3405,29.9026,2.5500,1.9042
546,28.3424,29.9074,2.5500,1.9037
547,28.3443,29.9122,2.5500,1.9032
548,28.3462,29.9169,2.5500,1.9027
549,28.3482,29.9217,2.5500,1.9022
550,28.3501,29.9265,2.5500,1.9017
551,28.3521,29.9313,2.5500,1.9012
552,28.3540,29.9361,2.5500,1.9007
553,28.3560,29.9408,2.5500,1.9002
554,28.3579,29.9456,2.5500,1.8997
555,28.3599,29.9504,2.5500,1.8992
556,28.3618,29.9551,2.5500,1.8987
557,28.3638,29.9599,2.5500,1.8982
558,28.3658,29.9646,2.5500,1.8977
559,28.3678,29.9694,2.5500,1.8972
560,28.3698,29.9742,2.5500,1.8967
561,28.3718,29.9789,2.5500,1.8962
562,28.3738,29.9837,2.5500,1.8957
563,28.3758,29.9884,2.5500,1.8952
564,28.3778,29.9932,2.5500,1.8947
565,28.3798,29.9980,2.5500,1.8942
566,28.3818,30.0027,2.5500,1.8938
567,28.3838,30.0075,2.5500,1.8933
568,28.3859,30.0122,2.5500,1.8928
569,28.3879,30.0170,2.5500,1.8923
570,28.3899,30.0218,2.5500,1.8918
571,28.3920,30.0265,2.5500,1.8913
572,28.3940,30.0313,2.5500,1.8908
573,28.3961,30.0361,2.5500,1.8903
574,28.3981,30.0408,2.5500,1.8899
575,28.4002,30.0456,2.5500,1.8894
576,28.4023,30.0504,2.5500,1.8889
577,28.4043,30.0551,2.5500,1.8884
578,28.4064,30.0599,2.5500,1.8879
579,28.4085,30.0647,2.5500,1.8874
580,28.4106,30.0694,2.5500,1.8869
581,28.4127,30.0742,2.5500,1.8865
582,28.4148,30.0790,2.5500,1.8860
583,28.4169,30.0838,2.5500,1.8855
584,28.4190,30.0885,2.5500,1.8850
585,28.4211,30.0933,2.5500,1.8845
586,28.4232,30.0981,2.5500,1.8841
587,28.4254,30.1029,2.5500,1.8836
588,28.4275,30.1077,2.5500,1.8831
589,28.4296,30.1124,2.5500,1.8826
590,28.4318,30.1172,2.5500,1.8822
591,28.4339,30.1220,2.5500,1.8817
592,28.4360,30.1268,2.5500,1.8812
593,28.4382,30.1316,2.5500,1.8807
594,28.4404,30.1364,2.5500,1.8803
595,28.4425,30.1412,2.5500,1.8798
596,28.4447,30.1460,2.5500,1.8793
597,28.4469,30.1508,2.5500,1.8788
598,28.4490,30.1556,2.5500,1.8784
599,28.4512,30.1604,2.5500,1.8779
600,28.4534,30.1652,2.5500,1.8774
601,28.4556,30.1701,2.5500,1.8769
602,28.4578,30.1750,2.5500,1.8765
603,28.4600,30.1800,2.5500,1.8760
604,28.4622,30.1850,2.5500,1.8755
605,28.4644,30.1900,2.5500,1.8751
606,28.4666,30.1951,2.5500,1.8746
607,28.4688,30.2002,2.5500,1.8741
608,28.4711,30.2053,2.5500,1.8737
609,28.4733,30.2104,2.5500,1.8732
610,28.4755,30.2155,2.5500,1.8727
