t_h,dT_K
14.1500,-0.005216
14.1667,-0.005199
14.1833,-0.005182
14.2000,-0.005166
14.2167,-0.005150
14.2333,-0.005133
14.2500,-0.005117
14.2667,-0.005100
14.2833,-0.005084
14.3000,-0.005068
14.3167,-0.005052
14.3333,-0.005036
14.3500,-0.005020
14.3667,-0.005004
14.3833,-0.004989
14.4000,-0.004973
14.4167,-0.004957
14.4333,-0.004941
14.4500,-0.004926
14.4667,-0.004911
14.4833,-0.004895
14.5000,-0.004880
14.5167,-0.004864
14.5333,-0.004849
14.5500,-0.004833
14.5667,-0.004818
14.5833,-0.004802
14.6000,-0.004788
14.6167,-0.004772
14.6333,-0.004757
14.6500,-0.004742
14.6667,-0.004727
14.6833,-0.004712
14.7000,-0.004698
14.7167,-0.004683
14.7333,-0.004668
14.7500,-0.004654
14.7667,-0.004638
14.7833,-0.004625
14.8000,-0.004609
14.8167,-0.004595
14.8333,-0.004581
14.8500,-0.004567
14.8667,-0.004552
14.8833,-0.004538
14.9000,-0.004524
14.9167,-0.004510
14.9333,-0.004496
14.9500,-0.004482
14.9667,-0.004468
14.9833,-0.004455
15.0000,-0.004440
15.0167,-0.004427
15.0333,-0.004413
15.0500,-0.004399
15.0667,-0.004386
15.0833,-0.004372
15.1000,-0.004359
15.1167,-0.004345
15.1333,-0.004332
15.1500,-0.004319
15.1667,-0.004305
15.1833,-0.004293
15.2000,-0.004279
15.2167,-0.004266
15.2333,-0.004253
15.2500,-0.004240
15.2667,-0.004227
15.2833,-0.004214
15.3000,-0.004202
15.3167,-0.004189
15.3333,-0.004176
15.3500,-0.004164
15.3667,-0.004151
15.3833,-0.004138
15.4000,-0.004125
15.4167,-0.004113
15.4333,-0.004101
15.4500,-0.004088
15.4667,-0.004076
15.4833,-0.004063
15.5000,-0.004051
15.5167,-0.004039
15.5333,-0.004027
15.5500,-0.004014
15.5667,-0.004003
15.5833,-0.003991
15.6000,-0.003978
15.6167,-0.003966
15.6333,-0.003955
15.6500,-0.003942
15.6667,-0.003931
15.6833,-0.003919
15.7000,-0.003907
15.7167,-0.003895
15.7333,-0.003884
15.7500,-0.003872
15.7667,-0.003860
15.7833,-0.003848
15.8000,-0.003837
15.8167,-0.003825
15.8333,-0.003814
15.8500,-0.003803
15.8667,-0.003792
15.8833,-0.003781
15.9000,-0.003769
15.9167,-0.003758
15.9333,-0.003747
15.9500,-0.003736
15.9667,-0.003725
15.9833,-0.003714
16.0000,-0.003703
16.0167,-0.003692
16.0333,-0.003681
16.0500,-0.003670
16.0667,-0.003659
16.0833,-0.003648
16.1000,-0.003638
16.1167,-0.003627
16.1333,-0.003617
16.1500,-0.003605
16.1667,-0.003595
16.1833,-0.003584
16.2000,-0.003575
16.2167,-0.003564
16.2333,-0.003553
16.2500,-0.003543
16.2667,-0.003533
16.2833,-0.003522
16.3000,-0.003512
16.3167,-0.003502
16.3333,-0.003492
16.3500,-0.003482
16.3667,-0.003472
16.3833,-0.003462
16.4000,-0.003451
16.4167,-0.003442
16.4333,-0.003431
16.4500,-0.003422
16.4667,-0.003412
16.4833,-0.003403
16.5000,-0.003393
16.5167,-0.003382
16.5333,-0.003373
16.5500,-0.003363
16.5667,-0.003354
16.5833,-0.003344
