t_s,h_next_s
278.050448,0.004948
278.318050,0.004964
278.586537,0.004980
278.855907,0.004997
279.126159,0.005013
279.397296,0.005030
279.669318,0.005046
279.942226,0.005062
280.216018,0.005079
280.490690,0.005095
280.766244,0.005111
281.042684,0.005128
281.320004,0.005144
281.598206,0.005160
281.877293,0.005177
282.157264,0.005193
282.438114,0.005209
282.719849,0.005226
283.002465,0.005242
283.285967,0.005258
283.570346,0.005274
283.855611,0.005291
284.141755,0.005307
284.428780,0.005324
284.716691,0.005340
285.005481,0.005356
285.295152,0.005373
285.585705,0.005389
285.877144,0.005405
286.169460,0.005422
286.462657,0.005438
286.756742,0.005454
287.051699,0.005470
287.347532,0.005487
287.644219,0.005502
287.941755,0.005518
288.240136,0.005534
288.539367,0.005549
288.839444,0.005565
289.140372,0.005581
289.442146,0.005596
289.744768,0.005612
290.048242,0.005628
290.352559,0.005644
290.657721,0.005659
290.963731,0.005675
291.270584,0.005690
291.578287,0.005706
291.886832,0.005722
292.196227,0.005737
292.506469,0.005753
292.817556,0.005769
293.129491,0.005785
293.442273,0.005800
293.755902,0.005816
294.070375,0.005832
294.385691,0.005847
294.701855,0.005863
295.018866,0.005878
295.336724,0.005894
295.655424,0.005910
295.974967,0.005925
296.295360,0.005941
296.616592,0.005957
296.938669,0.005972
297.261567,0.005987
297.585286,0.006003
297.909816,0.006017
298.235156,0.006032
298.561306,0.006048
298.888269,0.006063
299.216049,0.006077
299.544638,0.006092
299.874040,0.006108
300.011883,0.000186
300.022213,0.000197
300.033142,0.000209
300.044728,0.000222
300.057022,0.000235
300.070094,0.000250
300.084009,0.000266
300.098847,0.000284
300.114679,0.000303
300.131597,0.000324
300.149694,0.000347
300.169056,0.000371
300.189788,0.000397
300.211984,0.000425
300.235741,0.000455
300.261152,0.000487
300.288302,0.000520
300.317283,0.000555
300.348163,0.000590
300.381015,0.000627
300.415900,0.000665
300.452864,0.000705
300.491965,0.000744
300.533246,0.000785
300.576748,0.000826
