t_h,dt_s,est_rel,n_accept
3.233333,4.18528034,1.030707e-06,593
3.235658,8.37056068,4.461295e-06,594
3.240309,16.74112136,6.584046e-06,595
3.249609,33.48224271,1.012994e-05,596
3.250000,1.40607525,2.909345e-08,597
3.250781,2.81215051,1.014434e-06,598
3.252343,5.62430102,2.424485e-06,599
3.255468,11.24860204,6.272124e-06,600
3.261717,22.49720407,1.631373e-05,601
3.266667,17.81774237,8.918078e-06,602
3.276565,35.63548473,1.503888e-05,603
3.283333,24.36451527,6.490417e-06,604
3.290101,24.36451527,4.447829e-05,605
3.296559,23.24937217,2.919648e-05,606
3.300000,12.38611256,7.884475e-06,607
3.306881,24.77222512,1.944400e-05,608
3.316667,35.22777488,1.785781e-05,609
3.324035,26.52580740,2.870928e-05,610
3.332786,31.50539662,2.825610e-05,611
3.333333,1.96879598,1.363698e-07,612
3.334427,3.93759197,5.505760e-07,613
3.336615,7.87518394,9.338378e-07,614
3.340990,15.75036788,2.521440e-06,615
3.349740,31.50073575,7.041662e-06,616
3.350000,0.93612046,7.417716e-09,617
3.350520,1.87224093,8.509148e-07,618
3.351560,3.74448185,1.918519e-06,619
3.353640,7.48896370,4.776263e-06,620
3.357801,14.97792741,1.203409e-05,621
3.365434,27.47720421,2.625082e-05,622
3.366667,4.43918190,7.907953e-07,623
3.369133,8.87836380,1.941132e-06,624
3.374065,17.75672760,6.178251e-06,625
3.383333,33.36490859,1.766046e-05,626
3.397368,50.52617517,1.483824e-05,627
3.400000,9.47382483,6.143710e-07,628
3.405263,18.94764967,1.284281e-05,629
3.414610,33.64750704,2.202676e-05,630
3.416667,7.40484330,1.220712e-06,631
3.420780,14.80968660,4.304651e-06,632
3.429008,29.61937320,6.644580e-06,633
3.433333,15.57094021,1.640687e-06,634
3.441984,31.14188041,4.394939e-05,635
3.450000,28.85811959,2.812320e-05,636
3.454810,17.31542606,2.657410e-05,637
3.460748,21.37624355,2.490106e-05,638
3.466667,21.30833038,1.902759e-05,639
3.475302,31.08744685,4.106438e-05,640
3.483333,28.91255315,2.401846e-05,641
3.493762,37.54406938,1.178282e-05,642
3.500000,22.45593062,3.906339e-06,643
3.512476,44.91186124,2.620901e-05,644
3.516667,15.08813876,3.083694e-06,645
3.525049,30.17627752,2.736679e-05,646
3.533333,29.82372248,2.029293e-05,647
3.539185,21.06623943,3.359522e-05,648
3.545610,23.13000779,2.687986e-05,649
3.550000,15.80375278,1.107676e-05,650
3.558394,30.21909439,2.137580e-05,651
3.566667,29.78090561,1.197485e-05,652
3.581880,54.76842937,4.659628e-06,653
3.583333,5.23157063,5.154788e-08,654
3.586240,10.46314126,1.006061e-05,655
3.592053,20.92628253,2.254659e-05,656
3.599843,28.04653126,2.907181e-05,657
3.600000,0.56404494,1.475540e-08,658
3.600313,1.12808989,3.203590e-07,659
3.600940,2.25617978,6.447355e-07,660
3.602194,4.51235956,1.383474e-06,661
3.604700,9.02471911,2.875287e-06,662
